,city,cloudiness,country,date,humidity,latitude,longitude,max_temperature,wind_speed
277,Leh,100,IN,1573717269,59,34.16,77.58,25.43,3.29
278,Wahiawa,1,US,1573717269,94,21.5,-158.02,80.6,3.36
279,Hamilton,90,CA,1573717201,73,43.26,-79.87,33.8,6.93
280,Zabol,0,IR,1573717270,14,31.03,61.49,66.2,6.93
281,Cascais,40,PT,1573717270,82,38.7,-9.42,55.4,18.34
282,Sorland,75,NO,1573717270,86,67.67,12.69,39.2,3.36
283,Bozoum,100,CF,1573717270,43,6.31,16.38,89.92,0.54
284,Buin,81,CL,1573717270,55,-33.73,-70.74,62.6,8.05
285,Plettenberg Bay,9,ZA,1573717270,64,-34.05,23.37,69.39,9.78
286,Clonmel,76,IE,1573717270,90,52.35,-7.7,36.81,18.66
287,Sinnamary,37,GF,1573717271,82,5.38,-52.96,81.28,10.67
288,Severo-Kurilsk,100,RU,1573717271,92,50.68,156.12,33.51,14.36
289,Kajaani,90,FI,1573717271,100,64.22,27.73,35.6,4.7
290,Ranfurly,72,CA,1573717271,94,53.41,-111.68,25.54,7.7
291,Torbay,75,CA,1573717271,58,47.66,-52.73,32.0,29.97
292,Alberton,54,ZA,1573717271,77,-26.25,28.13,68.0,2.24
293,Chipinge,29,ZW,1573717271,52,-20.19,32.62,85.59,3.98
294,Tabou,100,CI,1573717272,82,4.42,-7.36,81.57,3.71
295,Adrar,13,DZ,1573717272,25,27.87,-0.29,53.6,6.93
296,Sarakhs,0,TM,1573717272,28,36.54,61.16,57.2,3.47
297,Kavieng,0,PG,1573717272,74,-2.57,150.8,83.62,8.43
298,Minab,0,IR,1573717272,5,27.15,57.07,82.4,6.93
299,Masvingo,100,ZW,1573717272,44,-20.08,30.83,85.12,8.21
300,Letlhakane,27,BW,1573717272,39,-21.42,25.59,85.48,7.83
301,Kathu,0,ZA,1573717273,13,-27.7,23.05,81.36,7.11
302,Yerofey Pavlovich,100,RU,1573717273,84,53.97,121.97,-14.34,4.27
303,Padang,100,ID,1573717273,94,-0.92,100.36,74.03,2.3
304,Hasaki,40,JP,1573717273,68,35.73,140.83,66.2,9.17
305,Kununurra,81,AU,1573717273,16,-15.77,128.74,105.8,9.17
306,Nabire,100,ID,1573717273,97,-3.36,135.5,74.73,0.29
307,Ajdabiya,0,LY,1573717273,51,30.75,20.22,68.94,16.46
308,Kihei,20,US,1573717274,78,20.76,-156.45,77.0,9.17
309,Lysva,4,RU,1573717274,77,58.11,57.8,12.97,6.58
310,Bullhead City,1,US,1573717274,22,35.15,-114.57,60.8,1.43
311,Cravo Norte,53,CO,1573717274,91,6.3,-70.2,74.44,4.0
312,Takahama,20,JP,1573717274,62,34.92,136.99,57.2,33.33
313,Goure,97,NE,1573717275,11,13.98,10.27,87.64,12.59
314,Egvekinot,95,RU,1573717275,94,66.32,-179.17,7.52,11.16
315,Ust-Nera,100,RU,1573717275,95,64.57,143.24,-11.38,1.88
316,Ovalle,0,CL,1573717275,77,-30.6,-71.2,52.3,0.27
317,Yulara,90,AU,1573717275,5,-25.24,130.99,93.2,10.29
318,Tezu,0,IN,1573717275,52,27.93,96.16,82.15,2.51
319,Karpathos,20,GR,1573717275,72,35.51,27.21,68.0,3.36
320,Tevriz,0,RU,1573717276,74,57.51,72.4,10.89,5.75
321,Narasannapeta,0,IN,1573717276,50,18.42,84.04,83.39,6.13
322,Ginda,100,IN,1573717276,35,30.69,78.49,66.49,4.85
323,Faanui,100,PF,1573717276,81,-16.48,-151.75,79.45,22.03
324,Preobrazheniye,29,RU,1573717276,44,42.9,133.91,17.2,14.0
325,Auki,100,NG,1573717276,17,12.18,6.51,84.9,7.87
326,Doha,20,QA,1573717276,30,25.29,51.53,84.2,9.17
327,Beyneu,22,KZ,1573717277,65,45.32,55.19,48.04,11.18
328,Mantua,46,IT,1573717277,80,45.16,10.79,44.6,1.12
329,Ambon,95,FR,1573717277,100,47.55,-2.56,39.2,3.09
330,Englewood,90,US,1573717006,74,39.65,-104.99,41.0,4.7
331,Omsukchan,94,RU,1573717277,100,62.53,155.8,-2.37,1.97
332,Dingle,100,PH,1573717277,89,11.0,122.67,78.55,0.27
333,Road Town,1,VG,1573717277,78,18.42,-64.62,78.8,3.36
334,Storforshei,75,NO,1573717277,92,66.4,14.52,30.2,1.12
335,Byron Bay,0,AU,1573717278,69,-28.65,153.62,78.8,14.99
336,San Patricio,83,PY,1573717278,96,-26.98,-56.83,67.23,4.76
337,Petropavl,20,KZ,1573717278,78,54.87,69.13,14.0,11.18
338,Tougan,0,BF,1573717278,15,13.07,-3.07,85.44,14.45
339,Bambous Virieux,40,MU,1573717278,65,-20.34,57.76,82.4,9.17
340,The Valley,5,AI,1573717278,79,18.22,-63.06,79.9,14.16
341,Salalah,20,OM,1573717278,54,17.01,54.1,84.2,8.05
342,Tyup,0,KG,1573717279,49,42.73,78.36,39.2,1.97
343,Arlit,100,NE,1573717279,13,18.74,7.39,79.48,8.93
344,Sao Joao da Barra,59,BR,1573717169,87,-21.64,-41.05,74.44,18.43
345,Yakeshi,100,CN,1573717279,88,49.28,120.73,1.49,5.14
346,Zhigansk,100,RU,1573717279,92,66.77,123.37,-13.63,14.23
347,Kimbe,38,PG,1573717279,89,-5.56,150.15,76.5,1.1
348,Zeya,33,RU,1573717280,89,53.74,127.27,-14.52,7.54
349,Hofn,0,IS,1573717280,55,64.25,-15.21,32.0,16.11
350,Marrakesh,100,MA,1573717280,71,31.63,-7.99,50.0,2.24
351,Qaqortoq,100,GL,1573717280,60,60.72,-46.03,42.8,38.03
352,Changli,7,CN,1573717280,47,30.54,105.42,66.42,3.91
353,Riyadh,0,SA,1573716988,28,24.63,46.72,73.4,8.05
354,Lhokseumawe,76,ID,1573717281,79,5.18,97.15,79.39,3.13
355,Gold Coast,0,AU,1573717281,64,-28.0,153.41,75.99,10.29
356,Evensk,99,RU,1573717281,94,61.92,159.24,27.0,10.13
357,Koumra,78,TD,1573717281,24,8.92,17.55,94.6,3.87
358,Aklavik,90,CA,1573717281,76,68.22,-135.01,-5.81,4.7
359,San Miguel,0,AR,1573717281,88,-34.54,-58.72,69.8,5.44
360,Ranong,40,TH,1573717281,63,9.96,98.62,93.2,3.36
361,Bellefontaine,1,US,1573717282,100,40.36,-83.76,28.4,6.44
362,Vardo,1,US,1573717282,50,39.62,-77.74,28.4,6.93
363,Mashhad,0,IR,1573717282,20,36.3,59.61,55.4,6.93
364,Gamba,83,CN,1573717282,14,28.28,88.52,41.36,4.65
365,Leiyang,0,CN,1573717282,33,26.42,112.85,69.04,4.94
366,Balakhninskiy,94,RU,1573717282,99,58.01,114.28,-22.78,1.19
367,Mount Gambier,75,AU,1573717282,87,-37.83,140.78,55.4,16.11
368,Maldonado,90,UY,1573717283,100,-34.91,-54.96,62.6,4.7
369,Kalmunai,100,LK,1573717283,66,7.42,81.82,83.1,5.3
370,Samarai,100,PG,1573717283,92,-10.62,150.67,75.06,4.47
371,Zhicheng,0,CN,1573717283,20,35.04,112.59,64.4,6.42
372,Poronaysk,4,RU,1573717283,68,49.22,143.1,21.58,20.76
